"location_id","borough","zone","service_zone","latitude","longitude","geolocation"
236,"Manhattan","Upper East Side North","Yellow Zone","40.773565","-73.956555","(40.773565, -73.956555)"
237,"Manhattan","Upper East Side South","Yellow Zone","40.768098","-73.962408","(40.768098, -73.962408)"
238,"Manhattan","Upper West Side North","Yellow Zone","40.793783","-73.972368","(40.793783, -73.972368)"
239,"Manhattan","Upper West Side South","Yellow Zone","40.784734","-73.976865","(40.784734, -73.976865)"
240,"Bronx","Van Cortlandt Park","Boro Zone","40.886383","-73.898926","(40.886383, -73.898926)"
241,"Bronx","Van Cortlandt Village","Boro Zone","40.884442","-73.898986","(40.884442, -73.898986)"
242,"Bronx","Van Nest/Morris Park","Boro Zone","40.851186","-73.86244585","(40.851186, -73.86244585)"
243,"Manhattan","Washington Heights North","Boro Zone","40.85256","-73.936063","(40.85256, -73.936063)"
244,"Manhattan","Washington Heights South","Boro Zone","40.842119","-73.939657","(40.842119, -73.939657)"
245,"Staten Island","West Brighton","Boro Zone","40.6345481","-74.1120867","(40.6345481, -74.1120867)"
246,"Manhattan","West Chelsea/Hudson Yards","Yellow Zone","40.74699125","-73.9982942","(40.74699125, -73.9982942)"
247,"Bronx","West Concourse","Boro Zone","40.8263245","-73.9212145","(40.8263245, -73.9212145)"
248,"Bronx","West Farms/Bronx River","Boro Zone","40.84702525","-73.8762724","(40.84702525, -73.8762724)"
249,"Manhattan","West Village","Yellow Zone","40.7341857","-74.00558","(40.7341857, -74.00558)"
250,"Bronx","Westchester Village/Unionport","Boro Zone","40.8273229","-73.8501349","(40.8273229, -73.8501349)"
251,"Staten Island","Westerleigh","Boro Zone","40.621215","-74.1318094","(40.621215, -74.1318094)"
252,"Queens","Whitestone","Boro Zone","40.7945457","-73.8184674","(40.7945457, -73.8184674)"
253,"Queens","Willets Point","Boro Zone","40.796708","-73.779396","(40.796708, -73.779396)"
254,"Bronx","Williamsbridge/Olinville","Boro Zone","40.8580132","-73.85775535","(40.8580132, -73.85775535)"
255,"Brooklyn","Williamsburg (North Side)","Boro Zone","40.719004","-73.958435","(40.719004, -73.958435)"
256,"Brooklyn","Williamsburg (South Side)","Boro Zone","40.708116","-73.95707","(40.708116, -73.95707)"
257,"Brooklyn","Windsor Terrace","Boro Zone","40.65348695","-73.97719596197135","(40.65348695, -73.97719596197135)"
258,"Queens","Woodhaven","Boro Zone","40.6892698","-73.8579131","(40.6892698, -73.8579131)"
259,"Bronx","Woodlawn/Wakefield","Boro Zone","40.89202045","-73.86551070192147","(40.892020450000004, -73.86551070192147)"
260,"Queens","Woodside","Boro Zone","40.7453798","-73.9054145","(40.7453798, -73.9054145)"
261,"Manhattan","World Trade Center","Yellow Zone","40.71275205","-74.00958427262398","(40.71275205, -74.00958427262398)"
262,"Manhattan","Yorkville East","Yellow Zone","40.77172395","-73.95390724761229","(40.77172395, -73.95390724761229)"
263,"Manhattan","Yorkville West","Yellow Zone","40.776223","-73.949195","(40.776223, -73.949195)"
264,"Unknown","N/A","N/A",NULL,NULL,"N/A"
265,"N/A","Outside of NYC","N/A",NULL,NULL,"N/A"
