"location_id","borough","zone","service_zone","latitude","longitude","geolocation"
157,"Queens","Maspeth","Boro Zone","40.723158","-73.912637","(40.723158, -73.912637)"
158,"Manhattan","Meatpacking/West Village West","Yellow Zone","40.7408029","-74.0080691","(40.7408029, -74.0080691)"
159,"Bronx","Melrose South","Boro Zone","40.815802","-73.914332","(40.815802, -73.914332)"
160,"Queens","Middle Village","Boro Zone","40.7179844","-73.87880753380317","(40.7179844, -73.87880753380317)"
161,"Manhattan","Midtown Center","Yellow Zone","40.7650637","-73.9853191","(40.7650637, -73.9853191)"
162,"Manhattan","Midtown East","Yellow Zone","40.7598219","-73.9724708","(40.7598219, -73.9724708)"
163,"Manhattan","Midtown North","Yellow Zone","40.7649371","-73.9850825","(40.7649371, -73.9850825)"
164,"Manhattan","Midtown South","Yellow Zone","40.7498417","-73.984251","(40.7498417, -73.984251)"
165,"Brooklyn","Midwood","Boro Zone","40.6645346","-73.96685804585428","(40.664534599999996, -73.96685804585428)"
166,"Manhattan","Morningside Heights","Boro Zone","40.81","-73.9625","(40.81, -73.9625)"
167,"Bronx","Morrisania/Melrose","Boro Zone","40.82725775","-73.91126374999999","(40.82725775, -73.91126374999999)"
168,"Bronx","Mott Haven/Port Morris","Boro Zone","40.8052522","-73.9162479","(40.8052522, -73.9162479)"
169,"Bronx","Mount Hope","Boro Zone","40.8485541","-73.9067848","(40.8485541, -73.9067848)"
170,"Manhattan","Murray Hill","Yellow Zone","40.7481574","-73.97875","(40.7481574, -73.97875)"
171,"Queens","Murray Hill-Queens","Boro Zone","40.7381211","-73.8216848","(40.7381211, -73.8216848)"
172,"Staten Island","New Dorp/Midland Beach","Boro Zone","40.57502405","-74.09771175","(40.575024049999996, -74.09771175)"
173,"Queens","North Corona","Boro Zone","40.757971","-73.857338","(40.757971, -73.857338)"
174,"Bronx","Norwood","Boro Zone","40.8772593","-73.8768626","(40.8772593, -73.8768626)"
175,"Queens","Oakland Gardens","Boro Zone","40.753991","-73.765966","(40.753991, -73.765966)"
176,"Staten Island","Oakwood","Boro Zone","40.5639366","-74.1163373","(40.5639366, -74.1163373)"
177,"Brooklyn","Ocean Hill","Boro Zone","40.6757317","-73.9124338","(40.6757317, -73.9124338)"
178,"Brooklyn","Ocean Parkway South","Boro Zone","40.605618","-73.972308","(40.605618, -73.972308)"
